Zip Code,Status,Latitude,Longitude
BD17 5RS,No Satus,53.84231,-1.79748
E17 3QL,No Show,51.58672,0.00327
PE12 9NW,No Show,52.8428348,0.1684924
NW6 7LS,No Show,51.54277,-0.20196
KT12 2LE,No Show,51.39378,-0.41613
CV32 7HU,No Show,52.31453,-1.51493
S2 2GJ,No Show,53.36164,-1.43533
M12 5LD,No Show,53.46766,-2.1886
CV32 7HU,No Show,52.31453,-1.51493
OX16 9GY,No Show,52.05109,-1.34373
E13 9AL,No Show,51.53390965,0.03093385
CM22 6UU,No Show,51.91153,0.22486
LE5 4BQ,No Show,52.64196,-1.09271
SW12 9BW,No Show,51.44390013333333,-0.1525219
MK18 1GQ,No Show,52.0065,-0.97427
RM7 0FD,No Show,51.56945,0.15377
WF13 2HQ,No Show,53.701174,-1.6342201
PR1 6PJ,No Show,53.7756984,-2.6863778
LS17 5AB,No Show,53.83621,-1.54861
SW3 2NT,Sale,51.4929,-0.16488
LE5 5HA,Sale,52.62815,-1.1070199
OL11 2SD,Sale,53.59273,-2.15187
GU7 2FN,Sale,51.18669,-0.6292799
HA4 9LR,Sale,51.56997,-0.40391
IP14 1FD,Sale,52.18672,0.99812
DY5 4AZ,Sale,52.50134,-2.13746
SL2 1UD,Sale,51.52875,-0.63352
CH43 4UF,Sale,53.38794,-3.04228
DE24 5DP,Sale,52.87883,-1.40783
E6 6AN,Sale,51.52604,0.06332
CT10 1NT,Sale,51.35776,1.43665
BD8 7QT,Sale,53.79902,-1.76166
CR7 8HU,Sale,51.40782095,-0.10478035
SA69 9NA,Sale,51.71482,-4.71587
M44 6HN,Sale,53.45565,-2.41149
B10 9ES,Sale,52.47015360645161,-1.8543902516129032
SE18 4HA,Sale,51.48121,0.06144
BL1 7BB,Sale,53.60701,-2.44136
BR4 0NJ,Sale,51.376032225,-0.015864275
NW8 8EU,Sale,51.5230238,-0.170138
N22 6EE,Sale,51.5922399,-0.10525
WV14 6JU,Sale,52.5739,-2.06984
DA2 6EY,Sale,51.43952,0.25398
NG2 7GJ,Sale,52.91661,-1.14579
ME3 8GZ,Sale,51.4362799,0.49457
NN11 9YW,Sale,52.26621,-1.17848
BB2 1HG,Sale,53.74954,-2.49465
SW13 9QP,Sale,51.47860008529412,-0.24793818235294116
LE16 7XL,Sale,52.47816,-0.90139
HU12 0TS,Sale,53.6492556,0.1121571
HP23 5PA,Sale,51.79945,-0.64619
OL9 9GN,Sale,53.539,-2.15295
NG9 8EU,Sale,52.92771973333333,-1.2801235733333332
